港台频道,#genre#
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
东森新闻,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/playlist.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
TVB星河,http://iptv.weai.love/live
TVBS欢乐,http://live4play.uk/livehttpplay
TVBS新闻,http://38.64.72.148/hls/modn/list/4027/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
TVBS,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
東森美洲,http://38.64.72.148/hls/modn/list/2015/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
东森超视,http://38.64.72.148/hls/modn/list/2013/chunklist1.m3u8
澳门莲花,http://iptv.weai.love/live
TVB星河,http://php.jdshipin.com:8880/smt.php
东森新闻,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
TVBS新闻,http://108.181.20.197/livehttpplay
东森新闻,http://108.181.20.197/livehttpplay
TVBS新闻,http://live4play.uk/livehttpplay
东森新闻,http://live4play.uk/livehttpplay
三立都会,http://live4play.uk/livehttpplay
TVB新闻,http://php.jdshipin.com/smt.php
民视新闻,http://108.181.20.197/livehttpplay
三立新闻,http://108.181.20.197/livehttpplay
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
三立综合,http://live4play.uk/livehttpplay
TVBS欢乐,http://108.181.20.197/livehttpplay
民视新闻,http://live4play.uk/livehttpplay
三立新闻,http://live4play.uk/livehttpplay
TVBS精彩,http://108.181.20.197/livehttpplay
Arirang,https://amdlive-ch02-ctnd-com.akamaized.net/arirang_2ch/smil:arirang_2ch.smil/playlist.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b656000_sleng.m3u8
Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang,http://amdlive-ch02.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
TVBS亚洲,http://185.243.7.13:80/play/live.php
TVBS新闻,http://185.243.7.13:80/play/live.php
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b656000_sleng.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
民视新闻,http://live4play.uk/livehttpplay
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
TVB Classic,https://smart.pendy.dpdns.org/Smart.php
Arirang,https://smart.pendy.dpdns.org/Smart.php
东森新闻,https://smart.pendy.dpdns.org/Smart.php
Arirang,https://amdlive-ch02-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
TVB Asia,https://smart.pendy.dpdns.org/Smart.php
TVB星河,http://r.jdshipin.com/sXuuD
TVBS欢乐,https://smart.pendy.dpdns.org/Smart.php
TVBS新闻,https://smart.pendy.dpdns.org/Smart.php
东森超视,https://smart.pendy.dpdns.org/Smart.php
TVB星河,http://r.jdshipin.com/sXuuD
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
东森新闻,https://cdn.iptv8k.top/dl/jrys.php
TVB明珠,http://r.jdshipin.com/ZQ4kN
TVB明珠,http://r.jdshipin.com/GeWKr
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/playlist.m3u8
tvbs闽南,http://61.221.215.25:8800/hls/9/index.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/playlist.m3u8
民视新闻,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv13/index.m3u8
民视新闻,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv13/index.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
三立新闻,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live089/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
有线新闻,http://61.10.2.134:80/live_freedirect/freehd209_h.live/chunklist.m3u8
TVB PLUS,http://110.235.82.60:8001/bysid/82
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻,http://61.10.2.141:80/live_freedirect/freehd209_h.live/chunklist.m3u8
有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u
Arirang,http://cdn-01.bonus-tv.ru/arirang_edge/playlist.m3u8
TVB News International,https://tvb.860775.xyz/I-NEWS
TVB星河,http://r.jdshipin.com/Voac4
有线新闻,http://61.10.2.146/live_freedirect/freehd209_h.live/playlist.m3u8
TVBS新闻,http://104.225.237.144:52055/youtube/2mCSYvcfhtc
亚洲新闻,https://live1.mediadesk.al/cnatvlive.m3u8
TVB News International,https://tvb.860775.xyz/I-NEWS
澳门莲花,http://8.138.7.223/tv/lotustv.m3u8
寰宇新闻,http://222.128.55.152:9080/live/hy.m3u8
中天新闻,http://104.225.237.144:52055/youtube/vr3XyVCR4T0
寰宇新闻,http://222.128.55.152:9080/live/hy.m3u8
中天新闻,http://222.128.55.152:9080/live/fc.m3u8
东森超视,https://cdn.iptv8k.top/dl/jrys.php
台视新闻,http://222.128.55.152:9080/live/ts.m3u8
