更新时间,#genre#
2025-08-15 09:37:53,url

央视频道,#genre#
*CCTV3,http://112.27.145.212:9901/tsfile/live/1502_1.m3u8
*CCTV5,http://112.27.145.212:9901/tsfile/live/1504_1.m3u8
*CCTV6,http://112.27.145.212:9901/tsfile/live/1505_1.m3u8
CCTV,rtp://239.3.1.245:2000
CCTV,http://ainm.cc/a/play/php/cctv4k.php
CCTV 01东联,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8
CCTV 02东联,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8
CCTV 03东联,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8
CCTV 04东联,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8
CCTV 05东联,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8
CCTV 06东联,http://123.129.70.178:9901/tsfile/live/0006_1.m3u8
CCTV 07东联,http://123.129.70.178:9901/tsfile/live/0007_1.m3u8
CCTV 08东联,http://123.129.70.178:9901/tsfile/live/0008_1.m3u8
CCTV 09东联,http://123.129.70.178:9901/tsfile/live/0009_1.m3u8
CCTV 3,http://222.134.245.16:9901/tsfile/live/0003_1.m3u8
CCTV 3,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8
CCTV 3,http://8.138.7.223/tv/dl/careryun.php
CCTV 3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV 3,rtp://239.3.1.172:8001
CCTV 3,http://111.126.255.2:808/hls/103/index.m3u8
CCTV 3,rtsp://27.148.240.181/PLTV/88888888/224/3221227131/55974538.smil
CCTV 3,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8
CCTV 3,http://111.61.101.141:199/hls/222/index.m3u8
CCTV 3,http://153.0.171.163:9901/tsfile/live/1002_1.m3u8
CCTV 3,http://36.32.174.67:60080/newlive/live/hls/3/live.m3u8
CCTV 3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8
CCTV 3,http://1.24.190.98:10080/hls/3/index.m3u8
CCTV 3,http://101.74.28.209:9901/tsfile/live/0003_1.m3u8
CCTV 4,http://222.134.245.16:9901/tsfile/live/0004_1.m3u8
CCTV 4,http://106.53.99.30/tv/jzb.php
CCTV 4,http://111.61.101.141:199/hls/65/index.m3u8
CCTV 4,rtsp://27.148.240.181/PLTV/88888888/224/3221226967/10000100000000060000000001740931_0.smil
CCTV 4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV 4,rtp://239.3.1.105:8092
CCTV 4,http://8.138.7.223/tv/migu8.php
CCTV 4,http://8.138.7.223/tv/dl/careryun.php
CCTV 4,http://1.24.190.98:10080/hls/4/index.m3u8
CCTV 4,http://gmxw.7766.org:808/hls/22/index.m3u8
CCTV 4,http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8
CCTV 6,http://8.138.7.223/tv/dl/careryun.php
CCTV 6,http://111.61.101.141:199/hls/224/index.m3u8
CCTV 6,http://36.32.174.67:60080/newlive/live/hls/6/live.m3u8
CCTV 6,http://112.46.85.60:8009/hls/6/index.m3u8
CCTV 6,http://1.24.190.98:10080/hls/6/index.m3u8
CCTV 6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV 6,http://116.128.242.83:9901/tsfile/live/0007_1.m3u8
CCTV 6,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8
CCTV 6,http://221.7.175.154:8445/tsfile/live/1004_1.m3u8
CCTV 6,http://106.53.99.30/tv/jzb.php
CCTV 6,http://101.74.28.209:9901/tsfile/live/0006_1.m3u8
CCTV 6,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8
CCTV 6,rtsp://27.148.240.181/PLTV/88888888/224/3221227101/55975429.smil
CCTV 6,rtp://239.3.1.174:8001
CCTV 6,http://222.134.245.16:9901/tsfile/live/0006_1.m3u8
CCTV 6,https://smart.pendy.dpdns.org/Smart.php
CCTV 7,http://221.7.175.154:8445/tsfile/live/1005_1.m3u8
CCTV 7,http://8.138.7.223/tv/dl/careryun.php
CCTV 7,http://36.32.174.67:60080/newlive/live/hls/8/live.m3u8
CCTV 7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV 7,http://222.134.245.16:9901/tsfile/live/0007_1.m3u8
CCTV 7,http://101.74.28.209:9901/tsfile/live/0007_1.m3u8
CCTV 7,http://123.129.70.178:9901/tsfile/live/0007_1.m3u8
CCTV 7,http://111.61.101.141:199/hls/68/index.m3u8
CCTV 7,http://106.53.99.30/tv/jzb.php
CCTV 7,rtp://239.3.1.61:8104
CCTV 7,http://8.138.7.223/tv/dl/douyincdn.php
CCTV 7,http://1.24.190.98:10080/hls/7/index.m3u8
CCTV 7,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV 8,http://222.134.245.16:9901/tsfile/live/0008_1.m3u8
CCTV 8,http://153.0.171.163:9901/tsfile/live/1007_1.m3u8
CCTV 8,rtsp://27.148.240.181/PLTV/88888888/224/3221227157/63327076.smil
CCTV 8,http://36.32.174.67:60080/newlive/live/hls/11/live.m3u8
CCTV 8,http://61.136.172.236:9901/tsfile/live/0008_1.m3u8
CCTV 8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8
CCTV 8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV 8,http://101.74.28.209:9901/tsfile/live/0008_1.m3u8
CCTV 8,rtp://239.3.1.175:8001
CCTV 8,http://1.24.190.98:10080/hls/8/index.m3u8
CCTV 8,http://123.129.70.178:9901/tsfile/live/0008_1.m3u8
CCTV 8,http://221.7.175.154:8445/tsfile/live/1006_1.m3u8
CCTV 8,http://106.53.99.30/tv/jzb.php
CCTV 8,http://8.138.7.223/tv/dl/douyincdn.php
CCTV 8,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV 8,http://218.3.138.25:1111/tsfile/live/1007_1.m3u8
CCTV 8,http://111.61.101.141:199/hls/225/index.m3u8
CCTV 8,http://8.138.7.223/tv/dl/careryun.php
CCTV 9,http://111.61.101.141:199/hls/122/index.m3u8
CCTV 9,http://36.32.174.67:60080/newlive/live/hls/12/live.m3u8
CCTV 9,http://zqh2333.top:2222/rtp/239.93.25.24:5140
CCTV 9,rtp://239.3.1.62:8112
CCTV 9,http://106.53.99.30/tv/jzb.php
CCTV 9,http://61.136.172.236:9901/tsfile/live/0009_1.m3u8
CCTV 9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV 9,http://221.7.175.154:8445/tsfile/live/1007_1.m3u8
CCTV 9,http://222.134.245.16:9901/tsfile/live/0009_1.m3u8
CCTV 9,http://8.138.7.223/tv/dl/douyincdn.php
CCTV 9,http://123.129.70.178:9901/tsfile/live/0009_1.m3u8
CCTV 9,http://8.138.7.223/tv/dl/careryun.php
CCTV 9,http://8.138.7.223/tv/migu3.php
CCTV+1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8
CCTV1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8
CCTV1,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8$720x576
CCTV1,http://php.jdshipin.com/TVOD/iptv.php
CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8
CCTV1,rtp://239.3.1.129:8008
CCTV1,https://cc06.tv12.xyz/1.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://live.catvod.com/catvod.php
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,https://smart.pendy.dpdns.org/Smart.php
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1,http://101.74.28.209:9901/tsfile/live/0001_1.m3u8
CCTV1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV1,http://8.138.7.223/tv/dl/careryun.php
CCTV1,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
CCTV1,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
CCTV1,http://php.jdshipin.com:8880/TVOD/iptv.php
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
CCTV1,http://111.61.101.141:199/hls/62/index.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1,http://36.32.174.67:60080/newlive/live/hls/1/live.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
CCTV1,http://zqh2333.top:2222/rtp/239.93.24.184:5140
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV1+,http://27.185.1.27:8092/hls/1/index.m3u8
CCTV10,http://111.14.181.15:9901/tsfile/live/0010_1.m3u8
CCTV10,http://gmxw.7766.org:808/hls/28/index.m3u8
CCTV10,http://111.61.101.141:199/hls/70/index.m3u8
CCTV10,http://221.7.175.154:8445/tsfile/live/1008_1.m3u8
CCTV10,http://106.53.99.30/tv/jzb.php
CCTV10,http://1.24.190.98:10080/hls/10/index.m3u8
CCTV10,http://112.46.105.20:8009/hls/506/index.m3u8
CCTV10,rtp://239.3.1.63:8116
CCTV10,http://182.150.23.74:808/hls/10/index.m3u8
CCTV10,http://58.57.40.22:9901/tsfile/live/1010_1.m3u8
CCTV10,https://smart.pendy.dpdns.org/Smart.php
CCTV10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8
CCTV10,https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8
CCTV10,http://123.130.84.106:8154/tsfile/live/0010_1.m3u8
CCTV10,http://8.138.7.223/tv/dl/careryun.php
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV10,http://123.129.70.178:9901/tsfile/live/0010_1.m3u8
CCTV10,http://36.32.174.67:60080/newlive/live/hls/13/live.m3u8
CCTV10,http://1b6467f415.iok.la:9931/tsfile/live/1030_1.m3u8
CCTV10 科教,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8
CCTV10+,http://27.185.1.27:8092/hls/10/index.m3u8
CCTV10-科教,http://111.43.126.240:9003/hls/23/index.m3u8
CCTV10HD,http://vss.cbnmtv.com/live/yt_cctv10_h_1.m3u8
CCTV10东联,http://123.129.70.178:9901/tsfile/live/0010_1.m3u8
CCTV11,http://111.14.181.15:9901/tsfile/live/0011_1.m3u8
CCTV11,http://1b6467f415.iok.la:9931/tsfile/live/1031_1.m3u8
